Date reported to Alberta Health,Number of lab tests,Cumulative number of lab tests,Number of cases,Cumulative number of cases,Cumulative number of deaths,Number of deaths,Percent positivity
2020-03-06,60,511,0,0,0,0,5
2020-03-07,281,792,1,2,0,0,0
2020-03-08,454,1246,1,3,0,0,0
2020-03-09,643,1889,4,7,0,0,1.71
2020-03-10,784,2673,9,16,0,0,1.91
2020-03-11,1334,4007,7,23,0,0,0.6
2020-03-12,1147,5154,3,26,0,0,0.26
2020-03-13,1587,6741,8,34,0,0,1.2
2020-03-14,1555,8296,22,56,0,0,1.93
2020-03-15,1834,10130,11,67,0,0,0.87
2020-03-16,1485,11615,24,91,0,0,2.63
2020-03-17,2083,13698,11,102,0,0,0.48
2020-03-18,2878,16576,29,131,1,1,1.88
2020-03-19,2869,19445,32,163,1,0,1.67
2020-03-20,3593,23038,46,209,1,0,1.64
2020-03-21,3507,26545,35,244,1,0,1.17
2020-03-22,2854,29399,47,291,1,0,1.26
2020-03-23,2728,32127,53,344,1,0,1.65
2020-03-24,3143,35270,68,412,1,0,1.81
2020-03-25,1645,36915,63,475,1,0,3.65
2020-03-26,1316,38231,53,528,1,0,2.74
2020-03-27,3697,41928,85,613,1,0,2.41
2020-03-28,2145,44073,54,667,1,0,2
2020-03-29,1929,46002,34,701,5,4,0.98
2020-03-30,2549,48551,40,741,10,5,1.18
2020-03-31,4770,53321,132,873,11,1,2.56
2020-04-01,3610,56931,108,981,12,1,2.3
2020-04-02,4009,60940,122,1103,15,3,2.34
2020-04-03,1723,62663,70,1173,18,3,2.44
2020-04-04,1807,64470,60,1233,23,5,2.6
2020-04-05,1185,65655,42,1275,25,2,3.21
2020-04-06,941,66596,34,1309,28,3,2.66
2020-04-07,1705,68301,53,1362,28,0,2.29
2020-04-08,1288,69589,33,1395,32,4,2.17
2020-04-09,2291,71880,45,1440,36,4,1.48
2020-04-10,2851,74731,49,1489,40,4,1.4
2020-04-11,2240,76971,65,1554,45,5,2.14
2020-04-12,2305,79276,68,1622,45,0,2.52
2020-04-13,2136,81412,68,1690,48,3,2.76
2020-04-14,2572,83984,127,1817,48,0,4.67
2020-04-15,3092,87076,133,1950,50,2,3.85
2020-04-16,3099,90175,146,2096,50,0,4.94
2020-04-17,5238,95413,213,2309,54,4,4.01
2020-04-18,3800,99213,187,2496,57,3,4.79
2020-04-19,4370,103583,201,2697,62,5,4.51
2020-04-20,4009,107592,183,2880,66,4,4.71
2020-04-21,4313,111905,264,3144,72,6,5.91
2020-04-22,4057,115962,294,3438,75,3,7.2
2020-04-23,4471,120433,340,3778,80,5,7.67
2020-04-24,4531,124964,232,4010,80,0,5.16
2020-04-25,4664,129628,222,4232,84,4,4.97
2020-04-26,4301,133929,203,4435,88,4,4.49
2020-04-27,3444,137373,178,4613,90,2,5.14
2020-04-28,4362,141735,249,4862,94,4,5.89
2020-04-29,5077,146812,231,5093,96,2,4.53
2020-04-30,5035,151847,222,5315,100,4,4.37
2020-05-01,2847,154694,141,5456,102,2,4.25
2020-05-02,4970,159664,112,5568,104,2,2.25
2020-05-03,3244,162908,70,5638,106,2,2.37
2020-05-04,2557,165465,79,5717,107,1,2.89
2020-05-05,3032,168497,62,5779,111,4,2.01
2020-05-06,2882,171379,65,5844,112,1,2.22
2020-05-07,4135,175514,87,5931,115,3,2.18
2020-05-08,3781,179295,77,6008,115,0,2.17
2020-05-09,4214,183509,85,6093,117,2,1.97
2020-05-10,3260,186769,71,6164,118,1,2.18
2020-05-11,2793,189562,47,6211,121,3,1.75
2020-05-12,3756,193318,70,6281,124,3,1.86
2020-05-13,4409,197727,62,6343,124,0,1.47
2020-05-14,4767,202494,61,6404,125,1,1.26
2020-05-15,4700,207194,73,6477,126,1,1.57
2020-05-16,3986,211180,54,6531,128,2,1.4
2020-05-17,3189,214369,46,6577,129,1,1.57
2020-05-18,3230,217599,38,6615,131,2,1.24
2020-05-19,2503,220102,43,6658,132,1,1.8
2020-05-20,3277,223379,27,6685,136,4,0.92
2020-05-21,3722,227101,30,6715,138,2,0.83
2020-05-22,3823,230924,27,6742,138,0,0.86
2020-05-23,3861,234785,32,6774,139,1,0.83
2020-05-24,3234,238019,29,6803,139,0,0.87
2020-05-25,2958,240977,13,6816,141,2,0.44
2020-05-26,3056,244033,19,6835,143,2,0.65
2020-05-27,3603,247636,27,6862,143,0,0.78
2020-05-28,3903,251539,28,6890,143,0,0.74
2020-05-29,3862,255401,30,6920,144,1,0.78
2020-05-30,3364,258765,20,6940,144,0,0.62
2020-05-31,3133,261898,34,6974,144,0,1.09
2020-06-01,2734,264632,21,6995,145,1,0.77
2020-06-02,4055,268687,19,7014,146,1,0.62
2020-06-03,4781,273468,18,7032,147,1,0.38
2020-06-04,5416,278884,19,7051,147,0,0.39
2020-06-05,5604,284488,37,7088,148,1,0.75
2020-06-06,5870,290358,23,7111,150,2,0.44
2020-06-07,5490,295848,33,7144,150,0,0.62
2020-06-08,4976,300824,24,7168,151,1,0.52
2020-06-09,5923,306747,38,7206,151,0,0.69
2020-06-10,6850,313597,48,7254,151,0,0.73
2020-06-11,8477,322074,43,7297,151,0,0.51
2020-06-12,6183,328257,27,7324,151,0,0.44
2020-06-13,7665,335922,35,7359,151,0,0.52
2020-06-14,7459,343381,53,7412,151,0,0.76
2020-06-15,6366,349747,36,7448,151,0,0.58
2020-06-16,6970,356717,45,7493,151,0,0.67
2020-06-17,7821,364538,46,7539,152,1,0.64
2020-06-18,9100,373638,46,7585,152,0,0.57
2020-06-19,7399,381037,47,7632,152,0,0.65
2020-06-20,8324,389361,30,7662,152,0,0.38
2020-06-21,6895,396256,33,7695,153,1,0.51
2020-06-22,6542,402798,41,7736,153,0,0.61
2020-06-23,6518,409316,45,7781,153,0,0.81
2020-06-24,6367,415683,25,7806,153,0,0.47
2020-06-25,6634,422317,36,7842,154,1,0.57
2020-06-26,6396,428713,66,7908,154,0,1.13
2020-06-27,6509,435222,37,7945,154,0,0.61
2020-06-28,6997,442219,68,8013,154,0,1.03
2020-06-29,7200,449419,44,8057,154,0,0.64
2020-06-30,6952,456371,33,8090,155,1,0.62
2020-07-01,7675,464046,64,8154,155,0,0.86
2020-07-02,6739,470785,55,8209,155,0,0.91
2020-07-03,5960,476745,30,8239,155,0,0.55
2020-07-04,5544,482289,48,8287,156,1,0.9
2020-07-05,5602,487891,48,8335,156,0,1.09
2020-07-06,6014,493905,49,8384,156,0,0.78
2020-07-07,6268,500173,44,8428,158,2,0.78
2020-07-08,6970,507143,43,8471,159,1,0.66
2020-07-09,7804,514947,74,8545,162,3,0.96
2020-07-10,7528,522475,62,8607,162,0,0.85
2020-07-11,10003,532478,90,8697,162,0,1.01
2020-07-12,7595,540073,78,8775,162,0,1.12
2020-07-13,5809,545882,87,8862,163,1,1.62
2020-07-14,6386,552268,85,8947,166,3,1.44
2020-07-15,8225,560493,115,9062,166,0,1.62
2020-07-16,6485,566978,103,9165,167,1,1.73
2020-07-17,9719,576697,168,9333,167,0,1.89
2020-07-18,6857,583554,102,9435,170,3,1.63
2020-07-19,6961,590515,88,9523,171,1,1.39
2020-07-20,7818,598333,131,9654,173,2,1.69
2020-07-21,8156,606489,136,9790,175,2,1.77
2020-07-22,8230,614719,113,9903,177,2,1.37
2020-07-23,8741,623460,116,10019,179,2,1.4
2020-07-24,10589,634049,117,10136,182,3,1.18
2020-07-25,9855,643904,98,10234,184,2,1.07
2020-07-26,7443,651347,89,10323,187,3,1.36
2020-07-27,7910,659257,81,10404,190,3,1.13
2020-07-28,8989,668246,131,10535,194,4,1.57
2020-07-29,8674,676920,118,10653,195,1,1.43
2020-07-30,8394,685314,124,10777,196,1,1.57
2020-07-31,11514,696828,99,10876,200,4,1.01
2020-08-01,9148,705976,67,10943,200,0,0.75
2020-08-02,6934,712910,73,11016,200,0,1.1
2020-08-03,7246,720156,64,11080,203,3,1.02
2020-08-04,7203,727359,94,11174,204,1,1.36
2020-08-05,7991,735350,61,11235,207,3,0.76
2020-08-06,8561,743911,128,11363,209,2,1.55
2020-08-07,8780,752691,111,11474,209,0,1.34
2020-08-08,10167,762858,97,11571,214,5,0.97
2020-08-09,7414,770272,45,11616,216,2,0.63
2020-08-10,7061,777333,86,11702,218,2,1.39
2020-08-11,8078,785411,116,11818,220,2,1.57
2020-08-12,7752,793163,72,11890,222,2,1.02
2020-08-13,8210,801373,81,11971,222,0,1.12
2020-08-14,10890,812263,104,12075,222,0,0.99
2020-08-15,8658,820921,83,12158,225,3,0.95
2020-08-16,8693,829614,95,12253,226,1,1.13
2020-08-17,8034,837648,85,12338,227,1,1.19
2020-08-18,9037,846685,81,12419,228,1,1.01
2020-08-19,9294,855979,101,12520,229,1,1.25
2020-08-20,9870,865849,140,12660,229,0,1.45
2020-08-21,10176,876025,88,12748,231,2,0.9
2020-08-22,10096,886121,103,12851,232,1,1.05
2020-08-23,8498,894619,70,12921,236,4,0.87
2020-08-24,8446,903065,73,12994,236,0,0.96
2020-08-25,9248,912313,125,13119,236,0,1.44
2020-08-26,10103,922416,104,13223,237,1,1.17
2020-08-27,10997,933413,153,13376,237,0,1.42
2020-08-28,10223,943636,142,13518,237,0,1.44
2020-08-29,11224,954860,181,13699,237,0,1.75
2020-08-30,12265,967125,109,13808,238,1,1.02
2020-08-31,9342,976467,152,13960,239,1,1.69
2020-09-01,8305,984772,109,14069,240,1,1.38
2020-09-02,9557,994329,132,14201,240,0,1.44
2020-09-03,10721,1005050,157,14358,241,1,1.5
2020-09-04,11395,1016445,169,14527,242,1,1.61
2020-09-05,11374,1027819,168,14695,244,2,1.58
2020-09-06,12100,1039919,134,14829,245,1,1.19
2020-09-07,12570,1052489,147,14976,249,4,1.26
2020-09-08,10507,1062996,97,15073,250,1,1
2020-09-09,9716,1072712,113,15186,250,0,1.25
2020-09-10,11983,1084695,116,15302,251,1,0.98
2020-09-11,12763,1097458,115,15417,252,1,0.94
2020-09-12,18919,1116377,166,15583,252,0,0.89
2020-09-13,14459,1130836,137,15720,252,0,1
2020-09-14,12992,1143828,123,15843,252,0,0.96
2020-09-15,12546,1156374,170,16013,252,0,1.41
2020-09-16,18136,1174510,182,16195,252,0,1.05
2020-09-17,12707,1187217,125,16320,252,0,1.05
2020-09-18,13830,1201047,137,16457,252,0,1.03
2020-09-19,14062,1215109,120,16577,253,1,0.89
2020-09-20,16261,1231370,152,16729,254,1,0.96
2020-09-21,13500,1244870,156,16885,256,2,1.24
2020-09-22,13663,1258533,128,17013,258,2,1
2020-09-23,13663,1272196,129,17142,260,2,1.04
2020-09-24,16685,1288881,124,17266,260,0,0.85
2020-09-25,14630,1303511,175,17441,261,1,1.28
2020-09-26,18583,1322094,155,17596,262,1,0.91
2020-09-27,14135,1336229,121,17717,263,1,0.94
2020-09-28,12583,1348812,127,17844,263,0,1.08
2020-09-29,15567,1364379,175,18019,264,1,1.16
2020-09-30,15243,1379622,154,18173,268,4,1.05
2020-10-01,14111,1393733,147,18320,271,3,1.16
2020-10-02,15888,1409621,222,18542,275,4,1.5
2020-10-03,14894,1424515,195,18737,277,2,1.35
2020-10-04,14479,1438994,213,18950,278,1,1.49
2020-10-05,18042,1457036,206,19156,278,0,1.2
2020-10-06,11770,1468806,243,19399,280,2,2.12
2020-10-07,13980,1482786,218,19617,281,1,1.68
2020-10-08,15356,1498142,186,19803,282,1,1.35
2020-10-09,16199,1514341,258,20061,283,1,1.67
2020-10-10,13888,1528229,250,20311,284,1,1.93
2020-10-11,16677,1544906,241,20552,285,1,1.57
2020-10-12,11474,1556380,221,20773,285,0,2.03
2020-10-13,14901,1571281,242,21015,287,2,1.7
2020-10-14,12795,1584076,242,21257,287,0,2.01
2020-10-15,14179,1598255,319,21576,288,1,2.36
2020-10-16,16032,1614287,307,21883,289,1,2.01
2020-10-17,12565,1626852,225,22108,289,0,1.85
2020-10-18,13598,1640450,370,22478,291,2,2.89
2020-10-19,13019,1653469,324,22802,293,2,2.63
2020-10-20,14955,1668424,392,23194,295,2,2.88
2020-10-21,14333,1682757,436,23630,297,2,3.18
2020-10-22,15549,1698306,442,24072,301,4,2.89
2020-10-23,16389,1714695,390,24462,304,3,2.5
2020-10-24,17134,1731829,578,25040,306,2,3.54
2020-10-25,12689,1744518,500,25540,307,1,4.12
2020-10-26,9649,1754167,416,25956,309,2,4.57
2020-10-27,10962,1765129,407,26363,314,5,3.94
2020-10-28,12858,1777987,479,26842,320,6,3.94
2020-10-29,13649,1791636,614,27456,323,3,4.83
2020-10-30,13827,1805463,589,28045,326,3,4.39
2020-10-31,13203,1818666,524,28569,333,7,4.17
2020-11-01,11638,1830304,605,29174,338,5,5.34
2020-11-02,8970,1839274,571,29745,341,3,6.61
2020-11-03,11167,1850441,537,30282,350,9,5.05
2020-11-04,14099,1864540,771,31053,354,4,5.74
2020-11-05,14153,1878693,735,31788,361,7,5.48
2020-11-06,15030,1893723,825,32613,368,7,5.89
2020-11-07,12167,1905890,640,33253,373,5,5.59
2020-11-08,11616,1917506,630,33883,383,10,5.72
2020-11-09,9323,1926829,724,34607,389,6,8.22
2020-11-10,12679,1939508,676,35283,397,8,5.76
2020-11-11,14923,1954431,854,36137,400,3,5.98
2020-11-12,14035,1968466,896,37033,407,7,6.93
2020-11-13,14322,1982788,1017,38050,413,6,7.71
2020-11-14,15603,1998391,981,39031,422,9,6.72
2020-11-15,12217,2010608,852,39883,435,13,7.45
2020-11-16,11539,2022147,765,40648,449,14,7
2020-11-17,13453,2035600,729,41377,459,10,5.91
2020-11-18,16471,2052071,1102,42479,466,7,7.24
2020-11-19,17768,2069839,1140,43619,476,10,7.05
2020-11-20,19342,2089181,1333,44952,484,8,7.45
2020-11-21,19571,2108752,1562,46514,493,9,8.54
2020-11-22,19567,2128319,1528,48042,504,11,8.33
2020-11-23,13649,2141968,1120,49162,514,10,8.78
2020-11-24,15715,2157683,1271,50433,524,10,8.53
2020-11-25,16000,2173683,1084,51517,533,9,7.28
2020-11-26,16355,2190038,1228,52745,545,12,7.92
2020-11-27,21749,2211787,1714,54459,558,13,8.39
2020-11-28,23385,2235172,1593,56052,567,9,7.32
2020-11-29,20591,2255763,1710,57762,579,12,8.79
2020-11-30,15884,2271647,1317,59079,595,16,8.82
2020-12-01,18517,2290164,1695,60774,607,12,9.61
2020-12-02,19698,2309862,1851,62625,625,18,9.81
2020-12-03,17309,2327171,1794,64419,640,15,11.15
2020-12-04,21186,2348357,1880,66299,666,26,9.47
2020-12-05,23544,2371901,1828,68127,681,15,8.3
2020-12-06,20472,2392373,1725,69852,700,19,9.02
2020-12-07,19195,2411568,1794,71646,723,23,9.85
2020-12-08,16894,2428462,1494,73140,736,13,9.48
2020-12-09,16891,2445353,1596,74736,757,21,9.98
2020-12-10,21106,2466459,1745,76481,776,19,8.93
2020-12-11,20347,2486806,1597,78078,789,13,8.41
2020-12-12,21833,2508639,1709,79787,814,25,8.35
2020-12-13,20496,2529135,1865,81652,830,16,9.52
2020-12-14,16468,2545603,1342,82994,850,20,8.9
2020-12-15,17645,2563248,1287,84281,873,23,7.71
2020-12-16,19960,2583208,1592,85873,897,24,8.46
2020-12-17,19671,2602879,1461,87334,918,21,7.97
2020-12-18,18664,2621543,1369,88703,946,28,7.93
2020-12-19,18156,2639699,1307,90010,963,17,7.62
2020-12-20,18499,2658198,1251,91261,976,13,7.37
2020-12-21,14366,2672564,1052,92313,998,22,7.73
2020-12-22,19445,2692009,1336,93649,1023,25,7.45
2020-12-23,15747,2707756,1130,94779,1044,21,7.67
2020-12-24,18182,2725938,1240,96019,1066,22,7.32
2020-12-25,14405,2740343,904,96923,1093,27,6.66
2020-12-26,7110,2747453,486,97409,1117,24,7.44
2020-12-27,9892,2757345,955,98364,1144,27,10.35
2020-12-28,11286,2768631,896,99260,1160,16,8.32
2020-12-29,15059,2783690,1364,100624,1180,20,9.39
2020-12-30,17143,2800833,1263,101887,1198,18,7.65
2020-12-31,16684,2817517,1360,103247,1214,16,8.57
2021-01-01,12952,2830469,921,104168,1238,24,7.61
2021-01-02,8365,2838834,466,104634,1268,30,5.86
2021-01-03,12232,2851066,1138,105772,1292,24,9.86
2021-01-04,10628,2861694,878,106650,1317,25,8.62
2021-01-05,16450,2878144,1148,107798,1340,23,7.28
2021-01-06,15094,2893238,966,108764,1366,26,6.7
2021-01-07,16994,2910232,1176,109940,1386,20,7.21
2021-01-08,13667,2923899,982,110922,1403,17,7.54
2021-01-09,12367,2936266,809,111731,1427,24,6.87
2021-01-10,9894,2946160,627,112358,1455,28,6.65
2021-01-11,9401,2955561,675,113033,1472,17,7.5
2021-01-12,15960,2971521,867,113900,1496,24,5.8
2021-01-13,16303,2987824,966,114866,1506,10,6.31
2021-01-14,13640,3001464,779,115645,1521,15,5.91
2021-01-15,12472,3013936,702,116347,1538,17,5.92
2021-01-16,11527,3025463,743,117090,1557,19,6.81
2021-01-17,8613,3034076,461,117551,1574,17,5.65
2021-01-18,7730,3041806,462,118013,1586,12,6.27
2021-01-19,14722,3056528,670,118683,1610,24,4.88
2021-01-20,14097,3070625,672,119355,1626,16,5.03
2021-01-21,13043,3083668,642,119997,1639,13,5.09
2021-01-22,10918,3094586,567,120564,1652,13,5.52
2021-01-23,10256,3104842,451,121015,1669,17,4.57
2021-01-24,7203,3112045,358,121373,1681,12,5.28
2021-01-25,8317,3120362,362,121735,1697,16,4.48
2021-01-26,12891,3133253,468,122203,1704,7,3.82
2021-01-27,12336,3145589,473,122676,1713,9,4.09
2021-01-28,11608,3157197,519,123195,1724,11,4.63
2021-01-29,10396,3167593,388,123583,1732,8,3.89
2021-01-30,8968,3176561,468,124051,1741,9,5.45
2021-01-31,7305,3183866,351,124402,1748,7,5
2021-02-01,7913,3191779,280,124682,1757,9,3.65
2021-02-02,13072,3204851,456,125138,1765,8,3.66
2021-02-03,11521,3216372,403,125541,1778,13,3.64
2021-02-04,10002,3226374,394,125935,1783,5,4.12
2021-02-05,10045,3236419,361,126296,1794,11,3.78
2021-02-06,8250,3244669,352,126648,1799,5,4.34
2021-02-07,6196,3250865,268,126916,1807,8,4.52
2021-02-08,7015,3257880,219,127135,1812,5,3.31
2021-02-09,10888,3268768,335,127470,1820,8,3.27
2021-02-10,9976,3278744,348,127818,1828,8,3.6
2021-02-11,8418,3287162,318,128136,1841,13,3.85
2021-02-12,8079,3295241,301,128437,1848,7,3.85
2021-02-13,7984,3303225,286,128723,1851,3,3.81
2021-02-14,5396,3308621,244,128967,1854,3,4.63
2021-02-15,5239,3313860,260,129227,1859,5,5.33
2021-02-16,7489,3321349,286,129513,1864,5,4.07
2021-02-17,10302,3331651,420,129933,1866,2,4.39
2021-02-18,9387,3341038,331,130264,1872,6,3.7
2021-02-19,8398,3349436,384,130648,1876,4,4.8
2021-02-20,7546,3356982,327,130975,1877,1,4.52
2021-02-21,6074,3363056,268,131243,1881,4,4.63
2021-02-22,6338,3369394,277,131520,1886,5,4.48
2021-02-23,9485,3378879,425,131945,1887,1,4.83
2021-02-24,9232,3388111,404,132349,1890,3,4.57
2021-02-25,9226,3397337,355,132704,1895,5,4.05
2021-02-26,7777,3405114,413,133117,1900,5,5.54
2021-02-27,7523,3412637,301,133418,1902,2,4.28
2021-02-28,5957,3418594,287,133705,1905,3,5.1
2021-03-01,5870,3424464,262,133967,1908,3,4.62
2021-03-02,10365,3434829,400,134367,1912,4,3.94
2021-03-03,9498,3444327,333,134700,1913,1,3.7
2021-03-04,10581,3454908,408,135108,1915,2,4.07
2021-03-05,8149,3463057,336,135444,1918,3,4.2
2021-03-06,8099,3471156,306,135750,1921,3,3.93
2021-03-07,5493,3476649,250,136000,1922,1,4.53
2021-03-08,5445,3482094,252,136252,1927,5,4.74
2021-03-09,10419,3492513,385,136637,1929,2,3.79
2021-03-10,10187,3502700,405,137042,1934,5,4.13
2021-03-11,9921,3512621,447,137489,1938,4,4.65
2021-03-12,8891,3521512,426,137915,1943,5,4.99
2021-03-13,8353,3529865,376,138291,1947,4,4.66
2021-03-14,6635,3536500,364,138655,1951,4,5.73
2021-03-15,6030,3542530,349,139004,1954,3,6.09
2021-03-16,10846,3553376,507,139511,1955,1,4.91
2021-03-17,10957,3564333,516,140027,1955,0,4.95
2021-03-18,11928,3576261,669,140696,1958,3,5.78
2021-03-19,9993,3586254,528,141224,1959,1,5.32
2021-03-20,11434,3597688,545,141769,1962,3,5.03
2021-03-21,7559,3605247,456,142225,1966,4,6.2
2021-03-22,7349,3612596,481,142706,1970,4,6.89
2021-03-23,12853,3625449,677,143383,1972,2,5.42
2021-03-24,14075,3639524,762,144145,1974,2,5.51
2021-03-25,13346,3652870,727,144872,1980,6,5.66
2021-03-26,11533,3664403,655,145527,1984,4,5.84
2021-03-27,11985,3676388,640,146167,1984,0,5.57
2021-03-28,8377,3684765,540,146707,1987,3,6.71
2021-03-29,8101,3692866,622,147329,1989,2,7.91
2021-03-30,13761,3706627,895,148224,1992,3,6.66
2021-03-31,13645,3720272,878,149102,1995,3,6.75
2021-04-01,13292,3733564,1078,150180,1996,1,8.64
2021-04-02,12123,3745687,1065,151245,1996,0,9.03
2021-04-03,11204,3756891,936,152181,1999,3,8.69
2021-04-04,9098,3765989,867,153048,2000,1,9.85
2021-04-05,9179,3775168,930,153978,2001,1,10.7
2021-04-06,14094,3789262,1365,155343,2001,0,9.97
2021-04-07,15245,3804507,1414,156757,2004,3,9.61
2021-04-08,15655,3820162,1533,158290,2009,5,10.16
2021-04-09,14406,3834568,1281,159571,2009,0,9.27
2021-04-10,14919,3849487,1171,160742,2012,3,8.23
2021-04-11,12329,3861816,1096,161838,2017,5,9.38
2021-04-12,11988,3873804,1052,162890,2020,3,9.08
2021-04-13,15777,3889581,1433,164323,2024,4,9.34
2021-04-14,17255,3906836,1649,165972,2028,4,9.83
2021-04-15,16927,3923763,1606,167578,2030,2,9.89
2021-04-16,16410,3940173,1501,169079,2032,2,9.49
2021-04-17,15389,3955562,1474,170553,2035,3,10.03
2021-04-18,12606,3968168,1356,171909,2038,3,11.07
2021-04-19,13195,3981363,1348,173257,2040,2,10.59
2021-04-20,18455,3999818,1729,174986,2045,5,9.74
2021-04-21,17574,4017392,1842,176828,2050,5,10.86
2021-04-22,17620,4035012,1672,178500,2057,7,9.88
2021-04-23,17748,4052760,1513,180013,2062,5,8.78
2021-04-24,17055,4069815,1446,181459,2068,6,8.75
2021-04-25,14885,4084700,1492,182951,2074,6,10.41
2021-04-26,13770,4098470,1547,184498,2077,3,11.58
2021-04-27,19000,4117470,1835,186333,2083,6,9.97
2021-04-28,20601,4138071,2070,188403,2089,6,10.19
2021-04-29,19001,4157072,1995,190398,2092,3,10.77
2021-04-30,20495,4177567,2411,192809,2097,5,12.16
2021-05-01,16626,4194193,1701,194510,2100,3,10.6
2021-05-02,15111,4209304,1970,196480,2106,6,13.45
2021-05-03,14601,4223905,1792,198272,2111,5,12.51
2021-05-04,20544,4244449,2281,200553,2111,0,11.4
2021-05-05,19973,4264422,2183,202736,2114,3,11.35
2021-05-06,18956,4283378,1944,204680,2115,1,10.75
2021-05-07,18859,4302237,2050,206730,2118,3,11.22
2021-05-08,15535,4317772,1583,208313,2123,5,10.48
2021-05-09,13991,4331763,1570,209883,2126,3,11.79
2021-05-10,11912,4343675,1511,211394,2131,5,13.17
2021-05-11,17587,4361262,1813,213207,2133,2,10.67
2021-05-12,15295,4376557,1591,214798,2139,6,10.72
2021-05-13,15067,4391624,1485,216283,2145,6,10.21
2021-05-14,12963,4404587,1238,217521,2148,3,9.8
2021-05-15,11885,4416472,1132,218653,2151,3,9.81
2021-05-16,7011,4423483,718,219371,2155,4,10.47
2021-05-17,8103,4431586,918,220289,2160,5,11.64
2021-05-18,10422,4442008,955,221244,2164,4,9.34
2021-05-19,9064,4451072,829,222073,2166,2,9.52
2021-05-20,10178,4461250,756,222829,2171,5,7.83
2021-05-21,9541,4470791,635,223464,2179,8,6.95
2021-05-22,6960,4477751,552,224016,2186,7,8.2
2021-05-23,5096,4482847,447,224463,2194,8,9.01
2021-05-24,4015,4486862,388,224851,2200,6,10.21
2021-05-25,5989,4492851,407,225258,2204,4,7.16
2021-05-26,9032,4501883,540,225798,2206,2,6.2
2021-05-27,7711,4509594,538,226336,2213,7,7.03
2021-05-28,6893,4516487,409,226745,2218,5,6.12
2021-05-29,6593,4523080,397,227142,2221,3,6.16
2021-05-30,4413,4527493,259,227401,2225,4,5.98
